Activity ID,Activity Name,Planned Duration,Planned Labor Units,Remaining Labor Units,Start,Finish,Activity % Complete,Planned Total Cost,BL1 Start,BL1 Finish,Planned Nonlabor Units,Total Float
      MS_L2_1320,COMP: Final Design Review - Cryogenic System,0.0d,0.0h,0.0h,,07-17-23,0%,$0 ,,,0.0h,1817.0d
      MS_L2_1420,COMP: Final Design Review - Infrastructure System,0.0d,0.0h,0.0h,,09-18-23,0%,$0 ,,,0.0h,1773.0d
      MS_L2_1160,COMP: SHPO Concurrence of Section 106 received,0.0d,0.0h,0.0h,,09-20-23,0%,$0 ,,,0.0h,1771.0d
      MS_L2_1220,COMP: Ready for CD-2/3,0.0d,0.0h,0.0h,,11-15-23,0%,$0 ,,,0.0h,1731.0d
      MS_L2_1200,COMP: Final NEPA Document Submitted to DOE,0.0d,0.0h,0.0h,,11-15-23,0%,$0 ,,,0.0h,1731.0d
      MS_L2_1300,COMP: Final Design Review - Accelerator Systems,0.0d,0.0h,0.0h,,07-22-24,0%,$0 ,,,0.0h,1570.0d
      MS_L2_1340,COMP: Final Design Review - Cryo Distribution System,0.0d,0.0h,0.0h,,07-22-24,0%,$0 ,,,0.0h,1570.0d
      MS_L2_1380,COMP: Final Design Review - Experimental System,0.0d,0.0h,0.0h,,11-14-24,0%,$0 ,,,0.0h,1488.0d
      MS_L2_1260,COMP: Last Cryomodule shipped from FNAL to SLAC,0.0d,0.0h,0.0h,,11-21-24,0%,$0 ,,,0.0h,1483.0d
      MS_L2_1280,COMP: Last Cryomodule shipped from JLAB to SLAC,0.0d,0.0h,0.0h,,02-10-25,0%,$0 ,,,0.0h,1439.0d
      MS_L2_1480,COMP: Ready for Installation - Accelerator Systems,0.0d,0.0h,0.0h,,06-05-25,0%,$0 ,,,0.0h,1358.0d
      MS_L2_1520,COMP: Start of Linac Long Downtime,0.0d,0.0h,0.0h,,06-24-25,0%,$0 ,,,0.0h,1345.0d
      MS_L2_1440,COMP: Final Design Review - Injector Systems,0.0d,0.0h,0.0h,,10-28-25,0%,$0 ,,,0.0h,1257.0d
      MS_L2_1880,COMP: HE Injector Accelerator Safety Envelop Approved by DOE,0.0d,0.0h,0.0h,,10-28-25,0%,$0 ,,,0.0h,1257.0d
      MS_L2_1460,COMP: Final Design Review - SRF Gun R&D,0.0d,0.0h,0.0h,,03-26-26,0%,$0 ,,,0.0h,1164.0d
      MS_L2_1540,COMP: Completion of Linac Long Downtime,0.0d,0.0h,0.0h,,06-24-26,0%,$0 ,,,0.0h,915.0d
      MS_L2_1600,COMP: HE Cryo Distribution System Ready for Commissioning,0.0d,0.0h,0.0h,,10-12-26,0%,$0 ,,,0.0h,1025.0d
      MS_L2_1620,COMP: CP2 Ready for Operation - commissioned by LCLS Operations,0.0d,0.0h,0.0h,,10-12-26,0%,$0 ,,,0.0h,1025.0d
      MS_L2_1640,COMP: ARR SC Linac,0.0d,0.0h,0.0h,,10-12-26,0%,$0 ,,,0.0h,1025.0d
      MS_L2_1560,COMP: Linac Installation Complete,0.0d,0.0h,0.0h,,10-12-26,0%,$0 ,,,0.0h,1025.0d
      MS_L2_1580,COMP: Infrastructure work complete,0.0d,0.0h,0.0h,,12-11-26,0%,$0 ,,,0.0h,983.0d
      MS_L2_1500,COMP: Ready for Installation - Injector Systems,0.0d,0.0h,0.0h,,03-11-27,0%,$0 ,,,0.0h,931.0d
      MS_L2_1800,COMP: Injector CP Installation Complete,0.0d,0.0h,0.0h,,05-31-27,0%,$0 ,,,0.0h,875.0d
      MS_L2_1740,COMP: Experimental Systems Commissioning Complete,0.0d,0.0h,0.0h,,11-05-27,0%,$0 ,,,0.0h,763.5d
      MS_L2_1700,COMP: First Light,0.0d,0.0h,0.0h,,11-05-27,0%,$0 ,,,0.0h,763.5d
      MS_L2_1720,COMP: Accelerator Commissioning Complete,0.0d,0.0h,0.0h,,11-05-27,0%,$0 ,,,0.0h,763.5d
      MS_L2_1820,COMP: Injector Systems Installation Complete,0.0d,0.0h,0.0h,,11-16-27,0%,$0 ,,,0.0h,756.0d
      MS_L2_1840,COMP: ARR HE Injector,0.0d,0.0h,0.0h,,11-16-27,0%,$0 ,,,0.0h,756.0d
      MS_L2_1940,COMP: Ready for CD-4 (All Equipment Installed & Commissioned),0.0d,0.0h,0.0h,,11-23-27,0%,$0 ,,,0.0h,751.0d
      MS_L2_1760,COMP: Ready for Transfer to Operations (TTO) - SC Accelerator & Endstations,0.0d,0.0h,0.0h,,03-31-2028*,0%,$0 ,,,0.0h,0.0d
      MS_L2_1780,COMP: Beneficial Occupancy - HE Injector Tunnel,0.0d,0.0h,0.0h,,03-08-29,0%,$0 ,,,0.0h,445.0d
      MS_L2_1900,COMP: First Light HE Injector,0.0d,0.0h,0.0h,,06-12-29,0%,$0 ,,,0.0h,378.0d
      MS_L2_1920,COMP: HE Injector Commissioning Complete,0.0d,0.0h,0.0h,,06-12-29,0%,$0 ,,,0.0h,378.0d
    L2HE - BL - 2021-10.1.00.03  Level 3 Milestones,,2261.0d,0.0h,0.0h,06-01-2018 A,03-19-29,,$0 ,,,0.0h,438.0d
      MS_L3_1000,COMP: CD-1 IPR,0.0d,0.0h,0.0h,,06-01-2018 A,100%,$0 ,,,0.0h,
      MS_L3_1010,COMP: Project Ready for CD-3A Director's Review,0.0d,0.0h,0.0h,,09-20-2019 A,100%,$0 ,,,0.0h,
      MS_L3_1030,COMP: CD-3A Director's Review,0.0d,0.0h,0.0h,,10-10-2019 A,100%,$0 ,,,0.0h,
      MS_L3_1020,COMP: CD-3A IPR,0.0d,0.0h,0.0h,,11-21-2019 A,100%,$0 ,,,0.0h,
      MS_L3_1680,COMP: SC Linac Accelerator Safety Envelop Approved by DOE,0.0d,0.0h,0.0h,,07-01-20,0%,$0 ,,,0.0h,1524.0d
      MS_L3_4090,COMP: Cryoplant Transfer Line Installed,0.0d,0.0h,0.0h,,07-01-20,0%,$0 ,,,0.0h,2560.0d
      MS_L3_1100,COMP: Prototype Cryomodule R&D complete,0.0d,0.0h,0.0h,,08-31-21,0%,$0 ,,,0.0h,2212.0d
      MS_L3_1060,COMP: FNAL Cryomodule Production Readiness Review,0.0d,0.0h,0.0h,,09-20-21,0%,$0 ,,,0.0h,2199.0d
      MS_L3_1080,COMP: JLAB Cryomodule Production Readiness Review,0.0d,0.0h,0.0h,,11-30-21,0%,$0 ,,,0.0h,2150.0d
      MS_L3_1180,COMP: Prototype Cryomodule Assembly,0.0d,0.0h,0.0h,,04-22-22,0%,$0 ,,,0.0h,2059.0d
      MS_L3_1360,COMP: Final Design Review - Undulator System,0.0d,0.0h,0.0h,,04-22-22,0%,$0 ,,,0.0h,2059.0d
      MS_L3_1230,COMP: CD-2/3 Director's Review,0.0d,0.0h,0.0h,,05-27-22,0%,$0 ,,,0.0h,2094.0d
      MS_L3_1120,COMP: First Cryomodule Shipped from FNAL to SLAC,0.0d,0.0h,0.0h,,08-04-22,0%,$0 ,,,0.0h,1987.0d
      MS_L3_1400,COMP: Final Design Review - Controls Systems,0.0d,0.0h,0.0h,,08-31-22,0%,$0 ,,,0.0h,1968.0d
      MS_L3_1240,COMP: CD-2/3 Approval,0.0d,0.0h,0.0h,,08-31-22,0%,$0 ,,,0.0h,1908.0d
      MS_L3_1660,COMP: ES&H Review & Approval of ODH Analysis,0.0d,0.0h,0.0h,,11-28-22,0%,$0 ,,,0.0h,1908.0d
      MS_L3_1860,COMP: ES&H Review & Approval of ODH Analysis - HE Injector,0.0d,0.0h,0.0h,,11-28-22,0%,$0 ,,,0.0h,1908.0d
      MS_L3_1140,COMP: First Cryomodule Shipped from JLAB to SLAC,0.0d,0.0h,0.0h,,04-06-23,0%,$0 ,,,0.0h,1827.0d
      MS_L3_1040,COMP: Prototype Cryomodule Shipped from Partner Lab to SLAC,0.0d,0.0h,0.0h,,04-06-23,0%,$0 ,,,0.0h,1827.0d
      MS_L3_1320,COMP: Final Design Review - Cryogenic System,0.0d,0.0h,0.0h,,04-20-23,0%,$0 ,,,0.0h,1817.0d
      MS_L3_1420,COMP: Final Design Review - Infrastructure System,0.0d,0.0h,0.0h,,06-22-23,0%,$0 ,,,0.0h,1773.0d
      MS_L3_1160,COMP: SHPO Concurrence of Section 106 Received,0.0d,0.0h,0.0h,,06-26-23,0%,$0 ,,,0.0h,1771.0d
      MS_L3_1490,COMP: Final Design Review - Linac System,0.0d,0.0h,0.0h,,08-10-23,0%,$0 ,,,0.0h,1799.0d
      MS_L3_1220,COMP: Ready for CD-2/3 Director's Review,0.0d,0.0h,0.0h,,08-22-23,0%,$0 ,,,0.0h,1731.0d
      MS_L3_1200,COMP: Final NEPA Document Submitted to DOE,0.0d,0.0h,0.0h,,08-22-23,0%,$0 ,,,0.0h,1731.0d
      MS_L3_1340,COMP: Final Design Review - Cryo Distribution System,0.0d,0.0h,0.0h,,04-25-24,0%,$0 ,,,0.0h,1570.0d
      MS_L3_1300,COMP: Final Design Review - Accelerator Systems,0.0d,0.0h,0.0h,,04-25-24,0%,$0 ,,,0.0h,1570.0d
      MS_L3_1380,COMP: Final Design Review - Experimental System,0.0d,0.0h,0.0h,,08-21-24,0%,$0 ,,,0.0h,1488.0d
      MS_L3_4030,COMP: ARR NEH and FEH Readiness Review,0.0d,0.0h,0.0h,,08-21-24,0%,$0 ,,,0.0h,1548.0d
      MS_L3_1260,COMP: Last Cryomodule Shipped from FNAL to SLAC,0.0d,0.0h,0.0h,,08-28-24,0%,$0 ,,,0.0h,98.0d
      MS_L3_1280,COMP: Last Cryomodule Shipped from JLAB to SLAC,0.0d,0.0h,0.0h,,10-30-24,0%,$0 ,,,0.0h,54.0d
      MS_L3_1480,COMP: Ready for Installation - Accelerator Systems,0.0d,0.0h,0.0h,,03-12-25,0%,$0 ,,,0.0h,1358.0d
      MS_L3_1520,COMP: Start of Linac Long Downtime,0.0d,0.0h,0.0h,,04-01-25,0%,$0 ,,,0.0h,1345.0d
      MS_L3_1440,COMP: Final Design Review - Injector Systems,0.0d,0.0h,0.0h,,08-04-25,0%,$0 ,,,0.0h,1257.0d
      MS_L3_1880,COMP: HE Injector Accelerator Safety Envelop Approved by DOE,0.0d,0.0h,0.0h,,08-04-25,0%,$0 ,,,0.0h,1257.0d
      MS_L3_1460,COMP: Final Design Review - SRF Gun R&D,0.0d,0.0h,0.0h,,12-16-25,0%,$0 ,,,0.0h,1164.0d
      MS_L3_1540,COMP: Completion of Linac Long Downtime,0.0d,0.0h,0.0h,,03-31-26,0%,$0 ,,,0.0h,915.0d
      MS_L3_1560,COMP: Linac Installation Complete,0.0d,0.0h,0.0h,,07-17-26,0%,$0 ,,,0.0h,49.0d
      MS_L3_1640,COMP: ARR - SC Linac,0.0d,0.0h,0.0h,,07-17-26,0%,$0 ,,,0.0h,1025.0d
      MS_L3_1650,COMP: ARR - Cu Linac,0.0d,0.0h,0.0h,,07-17-26,0%,$0 ,,,0.0h,1085.0d
      MS_L3_1600,COMP: HE Cryo Distribution System Ready for Commissioning,0.0d,0.0h,0.0h,,07-17-26,0%,$0 ,,,0.0h,49.0d
      MS_L3_1710,COMP: Accelerator System Mechanical Installation Complete,0.0d,0.0h,0.0h,,07-17-26,0%,$0 ,,,0.0h,1025.0d
      MS_L3_1620,COMP: CP2 Ready for Operation - Commissioned by LCLS Operations,0.0d,0.0h,0.0h,,07-17-26,0%,$0 ,,,0.0h,49.0d
      MS_L3_1730,COMP: XES System Installation and Checkouts,0.0d,0.0h,0.0h,,09-14-26,0%,$0 ,,,0.0h,1045.0d
      MS_L3_1580,COMP: Infrastructure Work Complete,0.0d,0.0h,0.0h,,09-16-26,0%,$0 ,,,0.0h,983.0d
      MS_L3_1500,COMP: Ready for Installation - Injector Systems,0.0d,0.0h,0.0h,,12-01-26,0%,$0 ,,,0.0h,931.0d
      MS_L3_1800,COMP: Injector CP Installation Complete,0.0d,0.0h,0.0h,,03-05-27,0%,$0 ,,,0.0h,875.0d
      MS_L3_1720,COMP: Accelerator Commissioning Complete,0.0d,0.0h,0.0h,,08-12-27,0%,$0 ,,,0.0h,763.5d
      MS_L3_1700,COMP: First Light,0.0d,0.0h,0.0h,,08-12-27,0%,$0 ,,,0.0h,763.5d
      MS_L3_1740,COMP: Experimental Systems Commissioning Complete,0.0d,0.0h,0.0h,,08-12-27,0%,$0 ,,,0.0h,763.5d
      MS_L3_1760,COMP: Ready for Transfer to Operations (TTO) – SC Accelerator & Endstations,0.0d,0.0h,0.0h,,08-12-27,0%,$0 ,,,0.0h,90.5d
      MS_L3_1820,COMP: Injector Systems Installation Complete,0.0d,0.0h,0.0h,,08-23-27,0%,$0 ,,,0.0h,756.0d
      MS_L3_1840,COMP: ARR HE Injector,0.0d,0.0h,0.0h,,08-23-27,0%,$0 ,,,0.0h,756.0d
      MS_L3_1960,COMP: CD-4 Director's Review,0.0d,0.0h,0.0h,,08-30-27,0%,$0 ,,,0.0h,751.0d
      MS_L3_4080,COMP: Instrument Upgrades Ready for Commissioning,0.0d,0.0h,0.0h,,08-30-27,0%,$0 ,,,0.0h,811.0d
      MS_L3_1940,COMP: Project Ready for CD-4 Director's Review,0.0d,0.0h,0.0h,,08-30-27,0%,$0 ,,,0.0h,751.0d
      MS_L3_1780,COMP: Beneficial Occupancy - HE Injector Tunnel,0.0d,0.0h,0.0h,,11-28-28,0%,$0 ,,,0.0h,445.0d
      MS_L3_1900,COMP: First Light HE Injector,0.0d,0.0h,0.0h,,03-19-29,0%,$0 ,,,0.0h,378.0d
      MS_L3_1920,COMP: HE Injector Commissioning Complete,0.0d,0.0h,0.0h,,03-19-29,0%,$0 ,,,0.0h,378.0d
    L2HE - BL - 2021-10.1.00.FY  FY Funding Milestones,,2619.0d,0.0h,0.0h,10-02-2017 A,07-03-28,,$0 ,,,0.0h,607.0d
      MS_FY_2018,COMP: FY18 Start,0.0d,0.0h,0.0h,,10-02-2017 A,100%,$0 ,,,0.0h,
      MS_FY_2019,COMP: FY19 Start,0.0d,0.0h,0.0h,,10-01-2018 A,100%,$0 ,,,0.0h,
      MS_FY_2020,COMP: FY20 Start,0.0d,0.0h,0.0h,,10-01-2019 A,0%,$0 ,,,0.0h,
      MS_FY_2020a,START: Non-CD-3A Engineering & Design Activities,0.0d,0.0h,0.0h,,07-01-20,0%,$0 ,,,0.0h,379.0d
      MS_FY_2021_Q1,COMP: FY21 Start - Q1,0.0d,0.0h,0.0h,,10-01-2020*,0%,$0 ,,,0.0h,-50.3d
      MS_FY_2021_Q2,COMP: FY21 Start - Q2,0.0d,0.0h,0.0h,,01-04-2021*,0%,$0 ,,,0.0h,-82.0d
      MS_FY_2021_Q3,COMP: FY21 Start - Q3,0.0d,0.0h,0.0h,,04-01-2021*,0%,$0 ,,,0.0h,-58.0d
      MS_FY_2021_Q4,COMP: FY21 Start - Q4,0.0d,0.0h,0.0h,,07-01-2021*,0%,$0 ,,,0.0h,-50.0d
      MS_FY_2022_Q1,COMP: FY22 Start - Q1,0.0d,0.0h,0.0h,,10-01-2021*,0%,$0 ,,,0.0h,-100.0d
      MS_FY_2022_Q2,COMP: FY22 Start - Q2,0.0d,0.0h,0.0h,,01-03-2022*,0%,$0 ,,,0.0h,-7.0d
      MS_FY_2022_Q3,COMP: FY22 Start - Q3,0.0d,0.0h,0.0h,,04-01-2022*,0%,$0 ,,,0.0h,-69.0d
      MS_FY_2022_Q4,COMP: FY22 Start - Q4,0.0d,0.0h,0.0h,,07-01-2022*,0%,$0 ,,,0.0h,-133.0d
      MS_FY_2023_Q1,COMP: FY23 Start - Q1,0.0d,0.0h,0.0h,,10-03-2022*,0%,$0 ,,,0.0h,-197.0d
      MS_FY_2023_Q2,COMP: FY23 Start - Q2,0.0d,0.0h,0.0h,,01-02-2023*,0%,$0 ,,,0.0h,-250.0d
      MS_FY_2023_Q3,COMP: FY23 Start - Q3,0.0d,0.0h,0.0h,,04-03-2023*,0%,$0 ,,,0.0h,38.0d
      MS_FY_2023_Q4,COMP: FY23 Start - Q4,0.0d,0.0h,0.0h,,07-03-2023*,0%,$0 ,,,0.0h,3.0d
      MS_FY_2024_Q1,COMP: FY24 Start - Q1,0.0d,0.0h,0.0h,,10-02-2023*,0%,$0 ,,,0.0h,42.0d
      MS_FY_2024_Q2,COMP: FY24 Start - Q2,0.0d,0.0h,0.0h,,01-02-2024*,0%,$0 ,,,0.0h,-10.0d
      MS_FY_2024_Q3,COMP: FY24 Start - Q3,0.0d,0.0h,0.0h,,04-01-2024*,0%,$0 ,,,0.0h,40.0d
      MS_FY_2024_Q4,COMP: FY24 Start - Q4,0.0d,0.0h,0.0h,,07-01-2024*,0%,$0 ,,,0.0h,103.0d
      MS_FY_2025_Q1,COMP: FY25 Start - Q1,0.0d,0.0h,0.0h,,10-01-2024*,0%,$0 ,,,0.0h,59.0d
      MS_FY_2025_Q2,COMP: FY25 Start - Q2,0.0d,0.0h,0.0h,,01-06-2025*,0%,$0 ,,,0.0h,38.0d
      MS_FY_2025_Q3,COMP: FY25 Start - Q3,0.0d,0.0h,0.0h,,04-01-2025*,0%,$0 ,,,0.0h,41.0d
      MS_FY_2025_Q4,COMP: FY25 Start - Q4,0.0d,0.0h,0.0h,,07-01-2025*,0%,$0 ,,,0.0h,49.0d
      MS_FY_2026_Q1,COMP: FY26 Start - Q1,0.0d,0.0h,0.0h,,10-01-2025*,0%,$0 ,,,0.0h,332.0d
      MS_FY_2026_Q2,COMP: FY26 Start - Q2,0.0d,0.0h,0.0h,,01-05-2026*,0%,$0 ,,,0.0h,277.0d
      MS_FY_2026_Q3,COMP: FY26 Start - Q3,0.0d,0.0h,0.0h,,04-01-2026*,0%,$0 ,,,0.0h,216.0d
      MS_FY_2026_Q4,COMP: FY26 Start - Q4,0.0d,0.0h,0.0h,,07-01-2026*,0%,$0 ,,,0.0h,152.0d
      MS_FY_2027_Q1,COMP: FY27 Start - Q1,0.0d,0.0h,0.0h,,10-01-2026*,0%,$0 ,,,0.0h,88.0d
      MS_FY_2027_Q2,COMP: FY27 Start - Q2,0.0d,0.0h,0.0h,,01-04-2027*,0%,$0 ,,,0.0h,33.0d
      MS_FY_2027_Q3,COMP: FY27 Start - Q3,0.0d,0.0h,0.0h,,04-01-2027*,0%,$0 ,,,0.0h,347.0d
      MS_FY_2027_Q4,COMP: FY27 Start - Q4,0.0d,0.0h,0.0h,,07-01-2027*,0%,$0 ,,,0.0h,852.0d
      MS_FY_2028_Q1,COMP: FY28 Start - Q1,0.0d,0.0h,0.0h,,10-01-2027*,0%,$0 ,,,0.0h,788.0d
      MS_FY_2028_Q2,COMP: FY28 Start - Q2,0.0d,0.0h,0.0h,,01-03-2028*,0%,$0 ,,,0.0h,734.0d
      MS_FY_2028_Q3,COMP: FY28 Start - Q3,0.0d,0.0h,0.0h,,04-03-2028*,0%,$0 ,,,0.0h,671.0d
      MS_FY_2028_Q4,COMP: FY28 Start - Q4,0.0d,0.0h,0.0h,,07-03-2028*,0%,$0 ,,,0.0h,607.0d
  L2HE - BL - 2021-10.1.01  Project Management,,2848.0d,240838.9h,202811.0h,09-26-2018 A,06-10-30,,"$8,170,956 ",,,8132928.3h,136.0d
    PM_M4_1010,COMP: L2HE LOE Activities - FY2018,0.0d,0.0h,0.0h,,09-26-2018 A,100%,$0 ,,,0.0h,
    PM_M4_1000,START: L2HE Project Management Support,0.0d,0.0h,0.0h,,09-28-2018 A,100%,$0 ,,,0.0h,
    PM_M4_1020,COMP: L2HE LOE Activities - FY2019,0.0d,0.0h,0.0h,,09-30-2019 A,100%,$0 ,,,0.0h,
    PM_M4_1030,COMP: L2HE LOE Activities - FY2020,0.0d,0.0h,0.0h,,09-30-20,0%,$0 ,,,0.0h,146.0d
    PM_M4_1040,COMP: L2HE LOE Activities - FY2021,0.0d,0.0h,0.0h,,09-30-21,0%,$0 ,,,0.0h,48.0d
    PM_M4_3010,COMP: Approved CD-2/3 Performance Baseline/Start of Construction,0.0d,0.0h,0.0h,,08-31-22,0%,$0 ,,,0.0h,2028.0d
    PM_M4_1050,COMP: L2HE LOE Activities - FY2022,0.0d,0.0h,0.0h,,09-30-22,0%,$0 ,,,0.0h,286.0d
    PM_M4_3000,COMP: Project Ready for CD-2/3,0.0d,0.0h,0.0h,,06-26-23,0%,$0 ,,,0.0h,1831.0d
    PM_M4_1060,COMP: L2HE LOE Activities - FY2023,0.0d,0.0h,0.0h,,09-29-23,0%,$0 ,,,0.0h,303.0d
    PM_M4_1070,COMP: L2HE LOE Activities - FY2024,0.0d,0.0h,0.0h,,09-30-24,0%,$0 ,,,0.0h,577.0d
    PM_M4_1080,COMP: L2HE LOE Activities - FY2025,0.0d,0.0h,0.0h,,09-30-25,0%,$0 ,,,0.0h,333.0d
    PM_M4_1090,COMP: L2HE LOE Activities - FY2026,0.0d,0.0h,0.0h,,09-29-27,0%,$0 ,,,0.0h,790.0d
    PM_M4_2000,COMP: L2HE Project Management Support,0.0d,0.0h,0.0h,,09-28-28,0%,$0 ,,,0.0h,546.0d
    PM_M4_1100,COMP: L2HE LOE Activities - FY2027,0.0d,0.0h,0.0h,,09-28-28,0%,$0 ,,,0.0h,546.0d
    PM_M4_1110,COMP: L2HE LOE Activities - FY2028,0.0d,0.0h,0.0h,,09-29-28,0%,$0 ,,,0.0h,545.0d
    L2HE - BL - 2021-10.1.01.01  Project Management - SLAC,,2848.0d,135314.9h,102491.0h,10-02-2018 A,06-10-30,,"$4,095,201 ",,,4062377.5h,136.0d
      L2HE - BL - 2021-10.1.01.01.01  Project Office Labor - SLAC,,2848.0d,135211.7h,102491.0h,10-02-2018 A,06-10-30,,"$399,467 ",,,366745.8h,136.0d
        PM_PHYSICS_1970,L2HE Physics Support - FY19,243.0d,0.0h,0.0h,10-02-2018 A,09-30-2019 A,100%,$0 ,,,0.0h,
        PM_MGMT_1000,L2HE Project Management Support - FY19,243.0d,0.0h,0.0h,10-02-2018 A,09-30-2019 A,100%,$0 ,,,0.0h,
        PM_PHYSICS_1980,L2HE Physics Support - FY20,243.0d,0.0h,0.0h,10-01-2019 A,06-30-2020 A,100%,$0 ,,,0.0h,
        PM_MGMT_1010,L2HE Project Management Support - FY20,245.0d,0.0h,0.0h,10-01-2019 A,06-30-2020 A,100%,$0 ,,,0.0h,
        ACT_NL_1010101,1010101 Non Labor Actuals,22.0d,0.0h,0.0h,06-01-2020 A,06-30-2020 A,100%,"$366,746 ",,,366745.8h,
        ACT_L_1010101,1010101 Labor Actuals,22.0d,32720.7h,0.0h,06-01-2020 A,06-30-2020 A,100%,"$32,721 ",,,0.0h,
        PM_PHYSICS_1981,L2HE Physics Support - FY20,64.0d,1584.0h,1584.0h,07-01-20,09-30-20,0%,$0 ,,,0.0h,286.0d
        PM_MGMT_1011,L2HE Project Management Support - FY20,64.0d,2419.0h,2419.0h,07-01-20,09-30-20,0%,$0 ,,,0.0h,48.0d
        PM_PHYSICS_1990,L2HE Physics Support - FY21,245.0d,4116.0h,4116.0h,10-01-20,09-30-21,0%,$0 ,,,0.0h,286.0d
        PM_MGMT_1020,L2HE Project Management Support - FY21,245.0d,14625.0h,14625.0h,10-01-20,09-30-21,0%,$0 ,,,0.0h,48.0d
        PM_MGMT_1030,L2HE Project Management Support - FY22,244.0d,18290.0h,18290.0h,10-01-21,09-30-22,0%,$0 ,,,0.0h,286.0d
        PM_PHYSICS_2000,L2HE Physics Support - FY22,244.0d,2958.0h,2958.0h,10-01-21,09-30-22,0%,$0 ,,,0.0h,286.0d
        PM_MGMT_1040,L2HE Project Management Support - FY23,243.0d,16999.0h,16999.0h,10-03-22,09-29-23,0%,$0 ,,,0.0h,303.0d
        PM_PHYSICS_2010,L2HE Physics Support - FY23,243.0d,1716.0h,1716.0h,10-03-22,09-29-23,0%,$0 ,,,0.0h,303.0d
        PM_MGMT_1050,L2HE Project Management Support - FY24,243.0d,16145.0h,16145.0h,10-02-23,09-30-24,0%,$0 ,,,0.0h,333.0d
        PM_PHYSICS_2020,L2HE Physics Support - FY24,243.0d,1287.0h,1287.0h,10-02-23,09-30-24,0%,$0 ,,,0.0h,333.0d
